KEY;FILE;TYPE;FR
CONS1_013366;440752-1;102;Anémomètre - thermomètre HD2103.1
CONS1_013373;440783-1;102;Anémomètre - thermomètre HD2103.2
CONS1_013450;440791-1;102;Anémomètre - thermomètre HD2303.0
CONS1_013731;438533-1;102;Anémomètre - thermomètre HD2303.0 avec sonde de température externe Pt100 4 fils TP47.100
CONS1_090015;378676-1;102;Anémomètre 327-0640
CONS1_042163;341090-1;102;Anémomètre 4260 T
CONS1_005130;379577-1;102;Anémomètre 50518
CONS1_012095;425825-1;102;Anémomètre 54N50
CONS1_098846;335819-1;102;Anémomètre 8475 150
CONS1_098854;335732-1;102;Anémomètre 8475 300
CONS1_090788;370225-1;102;Anémomètre à ailettes 555.1.18
CONS1_079556;339158-1;102;Anémomètre à coupelle INT10H
CONS1_019197;436316-1;102;Anémomètre à coupelles
CONS1_042028;344675-1;102;Anémomètre à coupelles INT 10
CONS1_014188;354628-1;102;Anémomètre à fil chaud HD2303.0
CONS1_014195;358184-1;102;Anémomètre à fil chaud HD2903 T01
CONS1_014202;360893-1;102;Anémomètre à fil chaud HD2903TC1.2
CONS1_014209;360054-1;102;Anémomètre à fil chaud HD29371 T01
CONS1_014216;355611-1;102;Anémomètre à fil chaud HD29V3T
CONS1_093155;406517-1;102;Anémomètre à fil chaud type Swema Air 40
CONS1_093162;406554-1;102;Anémomètre à fil chaud type SwemaAir 50
CONS1_090758;400155-1;102;Anémométre à helice
CONS1_090744;383192-1;102;Anémomètre à helice
CONS1_007265;353191-1;102;Anémométre à hélice
CONS1_019204;428798-1;102;Anémomètre à hélice
CONS1_084322;352943-1;102;Anémomètre à hélice ALMEMO 2290
CONS1_042051;347034-1;102;Anémomètre à hélice de diamétre 100 LCA 6000
CONS1_042035;352749-1;102;Anémomètre à hélice de diamétre 100 LCA 6000 VA
CONS1_042043;353338-1;102;Anémomètre à hélice de diamétre 100 LCA 6000 VT
CONS1_012177;284225-1;102;Anémomètre à hélice Debical 4000
CONS1_042299;346065-1;102;Anémométre à hélice HKF
CONS1_042195;346066-1;102;Anémomètre à hélice HKF
CONS1_029831;371988-1;102;Anémomètre à hélice Kestrel 1000
CONS1_029817;368697-1;102;Anémomètre à hélice Kestrel 3000
CONS1_000235;334945-1;102;Anémomètre à Helice TMA 10
CONS1_029588;348477-1;102;Anémomètre à hélice type 6812
CONS1_027502;348737-1;102;Anémomètre à hélice Type AM02
CONS1_024490;355750-1;102;Anémomètre à ultrasons WINDSONIC
CONS1_080322;350505-1;102;Anémomètre AM4203
CONS1_080330;350606-1;102;Anémomètre AM4206
CONS1_088167;392372-1;102;Anémomètre AVM-01
CONS1_090023;336430-1;102;Anémomètre AVM-09
CONS1_084589;365353-1;102;Anémomètre AVT-D
CONS1_097293;359215-1;102;Anemomètre diamètre 100mm Testo 400
CONS1_089742;361022-1;102;Anémométre digital
CONS1_016116;399112-1;102;Anémomètre Dwyer 471
CONS1_001260;352848-1;102;Anémomètre électronique à hélice AV-2
CONS1_086487;374041-1;102;Anémomètre électronique à hélice DA4000
CONS1_086501;373832-1;102;Anémomètre électronique à hélice DA40T
CONS1_001267;354403-1;102;Anémomètre électronique à hélice DVA 30
CONS1_001274;359730-1;102;Anémomètre électronique à hélice DVA 30VT
CONS1_001281;359135-1;102;Anémomètre électronique à hélice DVA600T
CONS1_001288;355021-1;102;Anémomètre électronique à hélice EDRA 6
CONS1_001295;355609-1;102;Anémomètre électronique à hélice LCA 301
CONS1_001302;359409-1;102;Anémométre électronique à hélice LCA 30VT
CONS1_001309;355675-1;102;Anémomètre électronique à hélice LCA 501
CONS1_001316;357222-1;102;Anémomètre électronique à hélice LCA 6000
CONS1_001323;360703-1;102;Anémomètre électronique à hélice LCA 6000 VA
CONS1_001330;361292-1;102;Anémomètre électronique à hélice LCA 6000 VT
CONS1_042211;342633-1;102;Anémomètre électronique à hélice LVM B
CONS1_042219;342664-1;102;Anémomètre électronique à hélice LVM C
CONS1_042339;339926-1;102;Anémomètre électronique à hélice LVS
CONS1_041496;339797-1;102;Anémomètre électronique ANS
CONS1_041449;335064-1;102;Anémomètre électronique basse vitesse à fil chaud AFL
CONS1_023659;413345-1;102;Anémomètre FI 381
CONS1_023667;411873-1;102;Anémomètre FI 39
CONS1_023675;460951-1;102;Anémomètre FI21AF
CONS1_025904;370744-1;102;Anémomètre Flowtherm NT
CONS1_025920;353647-1;102;Anémomètre HPS2 HP
CONS1_025912;342243-1;102;Anémomètre HTA
CONS1_006469;347102-1;102;Anémomètre M129003
CONS1_028973;343871-1;102;Anémomètre mécanique à compteur NG5393-2
CONS1_079752;367541-1;102;Anémomètre METEO DIGIT 1
CONS1_028980;337889-1;102;Anémomètre NG6313
CONS1_087757;369716-1;102;Anémomètre PCE-423
CONS1_001172;347586-1;102;Anémomètre TA400
CONS1_001180;349444-1;102;Anémomètre TA4007
CONS1_001252;389828-1;102;Anémomètre TA7
CONS1_097301;359453-1;102;Anémomètre Testo 417
CONS1_097472;373255-1;102;Anémomètre Testovent 4300
